#  L TT            EE            BB            TE            PP            PT            PE           
 183 5.3303015e+03 8.0100013e-01 1.1705930e-02 -3.3497611e+01 6.2947145e-08 1.6668997e-04 -6.2661472e-07
 184 5.3517279e+03 7.9110795e-01 1.1848810e-02 -3.2646096e+01 6.2618602e-08 1.6534803e-04 -6.1312218e-07
 185 5.3726663e+03 7.8149824e-01 1.1992644e-02 -3.1767688e+01 6.2292762e-08 1.6402020e-04 -5.9968911e-07
 186 5.3931021e+03 7.7219342e-01 1.2137422e-02 -3.0862765e+01 6.1969590e-08 1.6270614e-04 -5.8630700e-07
 187 5.4130356e+03 7.6322409e-01 1.2283137e-02 -2.9931410e+01 6.1649079e-08 1.6140546e-04 -5.7296715e-07
 188 5.4324600e+03 7.5463050e-01 1.2429780e-02 -2.8973926e+01 6.1331175e-08 1.6011775e-04 -5.5966079e-07
 189 5.4513606e+03 7.4644395e-01 1.2577342e-02 -2.7990470e+01 6.1015879e-08 1.5884271e-04 -5.4637949e-07
 190 5.4697378e+03 7.3869873e-01 1.2725813e-02 -2.6981346e+01 6.0703148e-08 1.5757995e-04 -5.3311455e-07
 191 5.4875846e+03 7.3142690e-01 1.2875184e-02 -2.5946858e+01 6.0392957e-08 1.5632909e-04 -5.1985735e-07
 192 5.5048865e+03 7.2466344e-01 1.3025446e-02 -2.4887088e+01 6.0085270e-08 1.5508976e-04 -5.0659919e-07
 193 5.5216364e+03 7.1844188e-01 1.3176588e-02 -2.3802340e+01 5.9780054e-08 1.5386156e-04 -4.9333140e-07
 194 5.5378421e+03 7.1279794e-01 1.3328601e-02 -2.2693066e+01 5.9477309e-08 1.5264419e-04 -4.8004553e-07
 195 5.5534892e+03 7.0776735e-01 1.3481474e-02 -2.1559496e+01 5.9177002e-08 1.5143727e-04 -4.6673294e-07
 196 5.5685780e+03 7.0338581e-01 1.3635197e-02 -2.0402083e+01 5.8879070e-08 1.5024036e-04 -4.5338480e-07
 197 5.5831089e+03 6.9969051e-01 1.3789758e-02 -1.9221131e+01 5.8583529e-08 1.4905318e-04 -4.3999271e-07
 198 5.5970822e+03 6.9671714e-01 1.3945148e-02 -1.8017017e+01 5.8290331e-08 1.4787531e-04 -4.2654794e-07
 199 5.6104760e+03 6.9450138e-01 1.4101355e-02 -1.6790046e+01 5.7999447e-08 1.4670640e-04 -4.1304188e-07
 200 5.6233056e+03 6.9307890e-01 1.4258368e-02 -1.5540745e+01 5.7710853e-08 1.4554605e-04 -3.9946586e-07
 201 5.6355564e+03 6.9248758e-01 1.4416175e-02 -1.4269341e+01 5.7424521e-08 1.4439398e-04 -3.8581332e-07
 202 5.6472210e+03 6.9276307e-01 1.4574764e-02 -1.2976436e+01 5.7140447e-08 1.4325011e-04 -3.7208536e-07
